year,state,state_po,totalvotes,dem,other,rep
2012,ALASKA,AK,300495,0.408126591,0.043857635,0.548015774
2012,ARIZONA,AZ,2299254,0.445897669,0.017556999,0.536545332
2012,ARKANSAS,AR,1069468,0.368789903,0.025540736,0.605669361
2012,CALIFORNIA,CA,13038547,0.602389591,0.026406623,0.371203785
2012,COLORADO,CO,2569516,0.514922266,0.023806818,0.461270916
2012,CONNECTICUT,CT,1558204,0.580850133,0.011698725,0.407451142
2012,DELAWARE,DE,413890,0.58610742,0.014066539,0.399826041
2012,DISTRICT OF COLUMBIA,DC,293764,0.909131139,0.018085947,0.072782914
2012,FLORIDA,FL,8474179,0.500078651,0.008611572,0.491309778
2012,GEORGIA,GA,3897839,0.455079597,0.011627982,0.533292422
2012,HAWAII,HI,437159,0.701479324,0.021699199,0.276821477
2012,IDAHO,ID,652274,0.326223336,0.028478829,0.645297835
2012,ILLINOIS,IL,5242014,0.576021354,0.016651234,0.407327413
2012,INDIANA,IN,2624534,0.439273029,0.019471647,0.541255324
2012,IOWA,IA,1582180,0.519880165,0.01834115,0.461778685
2012,KANSAS,KS,1159971,0.379945706,0.022941091,0.597113204
2012,KENTUCKY,KY,1797212,0.378013278,0.017055306,0.604931416
2012,LOUISIANA,LA,1994065,0.405774636,0.016379606,0.577845757
2012,MAINE,ME,724758,0.553710342,0.043015738,0.40327392
2012,MARYLAND,MD,2707327,0.619741908,0.021280769,0.358977323
2012,MASSACHUSETTS,MA,3184196,0.603383083,0.023425694,0.373191223
2012,MICHIGAN,MI,4730961,0.542082042,0.010808798,0.44710916
2012,MINNESOTA,MN,2936561,0.526523032,0.023894957,0.449582011
2012,MISSISSIPPI,MS,1285584,0.437893595,0.009247937,0.552858467
2012,MISSOURI,MO,2757323,0.443834835,0.018527753,0.537637411
2012,MONTANA,MT,484048,0.416981374,0.029503272,0.553515354
2012,NEBRASKA,NE,794379,0.380273144,0.021694934,0.598031922
2012,NEVADA,NV,1014918,0.523562495,0.019684349,0.456753156
2012,NEW HAMPSHIRE,NH,710972,0.519796842,0.016165194,0.464037965
2012,NEW JERSEY,NJ,3638499,0.583423549,0.010340803,0.406235648
2012,NEW MEXICO,NM,783758,0.529927605,0.041639128,0.428433266
2012,NEW YORK,NY,7116784,0.607609842,0.079974185,0.312415973
