pcon,share_conservative_poll,share_conservative_poll_unweighted,share_labor_poll_unweighted,share_labor_poll,N,share_joint_poll,share_joint_poll_unweighted,sd_poll,share_conservative,share_labor,country_name,region_name,share_joint,year
croydon central,0.4022478812787229,0.525,0.47500000000000003,0.5977521187212771,40,0.7054600962701972,0.6451612903225806,0.07753136837524237,0.4477576071283322,0.5522423928716679,England,London,54094,2017
croydon north,0.3884943125878932,0.4642857142857143,0.5357142857142857,0.6115056874121068,28,0.5652429508004114,0.6363636363636364,0.09211143904352906,0.2113412176022547,0.7886587823977453,England,London,56061,2017
croydon south,0.4175624822814216,0.5434782608695653,0.4565217391304348,0.5824375177185784,46,0.7239146132938094,0.6865671641791045,0.07271206700768734,0.6031993051282979,0.39680069487170205,England,London,55262,2017
dagenham and rainham,0.5184777965094065,0.5714285714285715,0.42857142857142855,0.48152220349059344,21,0.7504916222606278,0.6363636363636364,0.10903441375398017,0.44363125242341994,0.5563687475765801,England,London,41264,2017
darlington,0.3580143665805392,0.43749999999999994,0.5625,0.6419856334194608,48,0.7717668441308865,0.8135593220338984,0.06919779619300183,0.46102846822869636,0.5389715317713036,England,North East,42082,2017
dartford,0.7628322163139647,0.7222222222222222,0.2777777777777778,0.2371677836860353,36,0.4932137557763229,0.5714285714285714,0.07089100124437697,0.633911524556201,0.366088475443799,England,South East,49234,2017
daventry,0.8215332264606044,0.8518518518518519,0.14814814814814814,0.17846677353939563,27,0.6896178645880989,0.6428571428571429,0.07369013811143746,0.7209009228767735,0.2790990771232264,England,East Midlands,49194,2017
denton and reddish,0.47439038627259644,0.4166666666666667,0.5833333333333334,0.5256096137274034,24,0.6024632755584522,0.7741935483870968,0.10192810940493247,0.30580769761346394,0.6941923023865361,England,North West,36245,2017
derby north,0.4224764244351233,0.40540540540540543,0.5945945945945946,0.5775235755648768,37,0.778729526286893,0.7872340425531915,0.08120546101188236,0.47772446881425634,0.5222755311857437,England,East Midlands,45229,2017
derby south,0.6736370679882594,0.5833333333333333,0.41666666666666663,0.32636293201174066,36,0.5487560682818918,0.6666666666666667,0.07814697133187934,0.36484667884264155,0.6351533211573585,England,East Midlands,41612,2017
derbyshire dales,0.5903113723857428,0.6000000000000001,0.4,0.40968862761425706,25,0.6595994027363627,0.6756756756756757,0.09835524511032519,0.6586213768517083,0.34137862314829165,England,East Midlands,45161,2017
devizes,0.7447664366361453,0.7575757575757576,0.2424242424242424,0.25523356336385467,33,0.6686438186076233,0.7021276595744681,0.07589653872741055,0.7495277672837174,0.2504722327162826,England,South West,42352,2017
dewsbury,0.7225474511725086,0.6875,0.3125,0.27745254882749143,32,0.8087866065701377,0.8,0.07915029847871309,0.4694238311819839,0.5305761688180161,England,Yorkshire and The Humber,54307,2017
don valley,0.3222319259564261,0.411764705882353,0.5882352941176471,0.6777680740435739,34,0.6830271526453057,0.68,0.08014665085124716,0.44063124526221487,0.5593687547377851,England,Yorkshire and The Humber,43533,2017
doncaster central,0.4207944275735341,0.4358974358974359,0.5641025641025642,0.579205572426466,39,0.665149939422189,0.7647058823529411,0.07905312678040552,0.372402327514547,0.6275976724854531,England,Yorkshire and The Humber,39699,2017
doncaster north,0.28528833656149655,0.3076923076923077,0.6923076923076923,0.7147116634385035,39,0.641960818486971,0.6724137931034483,0.07230613365184685,0.3125033424247286,0.6874966575752715,England,Yorkshire and The Humber,37398,2017
dover,0.6484029857537824,0.576923076923077,0.4230769230769231,0.35159701424621764,52,0.6781877727560307,0.732394366197183,0.06621302361715711,0.567073043659477,0.4329269563405231,England,South East,47985,2017
dudley north,0.4365377495793147,0.4545454545454546,0.5454545454545455,0.5634622504206852,22,0.6960383095758498,0.7586206896551724,0.10573821506900517,0.49969577963382933,0.5003042203661707,England,West Midlands,36158,2017
dudley south,0.6344659624391497,0.65,0.35,0.36553403756085034,20,0.5123383385020996,0.6451612903225806,0.10768447078045032,0.6090391017322124,0.3909608982677876,England,West Midlands,35446,2017
dulwich and west norwood,0.4238457460527798,0.2592592592592593,0.7407407407407407,0.5761542539472202,27,0.5374138816221337,0.627906976744186,0.0951023872438118,0.21864257734431208,0.7813574226556879,England,London,50036,2017
ealing central and acton,0.41636041659518996,0.3333333333333333,0.6666666666666666,0.58363958340481,51,0.7809035852344922,0.85,0.06902747678093518,0.36791857194788297,0.632081428052117,England,London,52267,2017
ealing north,0.30704828394343975,0.30769230769230765,0.6923076923076923,0.6929517160565601,26,0.5998335092358938,0.6666666666666667,0.09046240937768837,0.30138975734715695,0.6986102426528431,England,London,49577,2017
ealing - southall,0.2227812460933975,0.26666666666666666,0.7333333333333333,0.7772187539066024,15,0.5668499014570265,0.625,0.10743983199368551,0.2328899637243047,0.7671100362756953,England,London,41350,2017
easington,0.570542040688245,0.5161290322580645,0.48387096774193544,0.42945795931175496,31,0.6398529895021625,0.7560975609756098,0.08890441051788985,0.26295683178403156,0.7370431682159684,England,North East,31412,2017
east devon,0.7998922547739952,0.7878787878787878,0.2121212121212121,0.20010774522600483,33,0.46790855936949105,0.55,0.06964512546334543,0.8103863064458148,0.18961369355418523,England,South West,36163,2017
east ham,0.2118621458867364,0.3333333333333333,0.6666666666666666,0.7881378541132636,24,0.7713869176276749,0.6666666666666666,0.08341077494020271,0.13319231122965142,0.8668076887703485,England,London,54365,2017
east hampshire,0.7652850998642239,0.7894736842105263,0.2105263157894737,0.23471490013577612,38,0.6954650078027317,0.71698113207547165,0.06875276373201467,0.7893405560281148,0.2106594439718852,England,South East,44674,2017
east surrey,0.710259714104214,0.625,0.375,0.2897402858957861,24,0.48642473606158126,0.5,0.09259923789841501,0.7560056523787094,0.24399434762129063,England,South East,46706,2017
east worthing and shoreham,0.5897098131474402,0.6190476190476191,0.38095238095238093,0.41029018685255986,42,0.6939688764004439,0.7241379310344828,0.07589970660352531,0.5544698101130787,0.4455301898869213,England,South East,46870,2017
